broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000393	HLF_LIVER	SIDM00065		
ACH-000394	NCIH2081_LUNG	SIDM00710		
ACH-000395	NCIH520_LUNG	SIDM01130		
ACH-000396	J82_URINARY_TRACT	SIDM00693		
ACH-000397	TEN_ENDOMETRIUM	SIDM01463		
ACH-000398	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE			
ACH-000399	NCIH2196_LUNG	SIDM00731		
ACH-000400	SKCO1_LARGE_INTESTINE	SIDM01096		
ACH-000401	COLO800_SKIN	SIDM00515		
ACH-000402	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00074		
ACH-000403	NCIH747_LARGE_INTESTINE	SIDM00778		
ACH-000404	K029AX_SKIN	SIDM01629		
ACH-000405	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00001		
